GreedyAgent,1,9,0.008973034
GreedyAgent,1,11,0.008527472
GreedyAgent,1,9,0.009151634
GreedyAgent,1,9,0.010191208
GreedyAgent,1,17,0.009524555
GreedyAgent,1,10,0.007178872
GreedyAgent,1,10,0.015944595
GreedyAgent,1,7,0.018493321
GreedyAgent,1,12,0.013515694
GreedyAgent,1,11,0.013707329
BetterGreedyAgent,1,51,0.011078581
BetterGreedyAgent,1,48,0.015268609
BetterGreedyAgent,1,53,0.013077645
BetterGreedyAgent,1,30,0.009071626
BetterGreedyAgent,1,49,0.015506127
BetterGreedyAgent,1,38,0.014682604
BetterGreedyAgent,1,52,0.016466873
BetterGreedyAgent,1,53,0.018443439
BetterGreedyAgent,1,33,0.014859757
BetterGreedyAgent,1,50,0.017373754
MinimaxAgent,2,47,0.071312262
MinimaxAgent,2,39,0.091497319
MinimaxAgent,2,49,0.088888926
MinimaxAgent,2,53,0.077088198
MinimaxAgent,2,35,0.091024086
MinimaxAgent,2,49,0.053432756
MinimaxAgent,2,49,0.053757914
MinimaxAgent,2,47,0.054706761
MinimaxAgent,2,48,0.090918901
MinimaxAgent,2,52,0.067958859
MinimaxAgent,3,49,0.604982386
MinimaxAgent,3,42,0.430684072
MinimaxAgent,3,52,0.702210197
MinimaxAgent,3,52,1.601467319
MinimaxAgent,3,53,2.374145453
MinimaxAgent,3,53,0.546455641
MinimaxAgent,3,52,0.681795552
MinimaxAgent,3,41,0.66096508
MinimaxAgent,3,53,0.625549345
MinimaxAgent,3,54,1.706465474
MinimaxAgent,4,50,5.140702117
MinimaxAgent,4,49,1.713485162
MinimaxAgent,4,51,1.753814508
MinimaxAgent,4,37,1.936730311
MinimaxAgent,4,50,1.853886321
MinimaxAgent,4,36,1.403770403
MinimaxAgent,4,38,1.845914388
MinimaxAgent,4,40,1.241276211
MinimaxAgent,4,52,2.029013197
MinimaxAgent,4,51,1.859851344
AlphaBetaAgent,2,47,0.027417654
AlphaBetaAgent,2,54,0.021655907
AlphaBetaAgent,2,50,0.028733387
AlphaBetaAgent,2,19,0.015744306
AlphaBetaAgent,2,46,0.026376316
AlphaBetaAgent,2,41,0.022555429
AlphaBetaAgent,2,52,0.025041942
AlphaBetaAgent,2,46,0.02801518
AlphaBetaAgent,2,50,0.025460466
AlphaBetaAgent,2,49,0.027702386
AlphaBetaAgent,3,49,0.126283189
AlphaBetaAgent,3,53,0.083778504
AlphaBetaAgent,3,34,0.093305778
AlphaBetaAgent,3,42,0.108920854
AlphaBetaAgent,3,51,0.119588247
AlphaBetaAgent,3,39,0.114537031
AlphaBetaAgent,3,38,0.108909966
AlphaBetaAgent,3,49,0.128594487
AlphaBetaAgent,3,49,0.121202537
AlphaBetaAgent,3,30,0.114710194
AlphaBetaAgent,4,49,0.674914849
AlphaBetaAgent,4,53,0.638384727
AlphaBetaAgent,4,54,0.64120886
AlphaBetaAgent,4,37,0.387955863
AlphaBetaAgent,4,42,0.320345205
AlphaBetaAgent,4,49,0.602472884
AlphaBetaAgent,4,46,0.637864921
AlphaBetaAgent,4,53,0.450086562
AlphaBetaAgent,4,51,0.675644683
AlphaBetaAgent,4,44,0.717204052
